ghg,SAR,AR5,AR4,SARall,AR5all,AR4all
CO2,3.7,3.7,3.7,3.7,3.7,3.7
CH4,21,28,25,21,28,25
CH4_AGR,21,28,25,21,28,25
CH4_AWB,21,28,25,21,28,25
N2O,310,265,298,310,265,298
N2O_AGR,310,265,298,310,265,298
N2O_AWB,310,265,298,310,265,298
C2F6,0,0,0,9.2,11.1,12.2
CF4,0,0,0,6.5,6.63,7.39
HFC125,0,0,0,2.8,3.17,3.5
HFC134a,0,0,0,1.3,1.3,1.43
HFC245fa,0,0,0,1.03,0.858,1.03
HFC143a,0,0,0,3.8,4.8,4.47
HFC152a,0,0,0,0.14,0.138,0.124
HFC227ea,0,0,0,2.9,3.35,3.22
HFC23,0,0,0,11.7,12.4,14.8
HFC236fa,0,0,0,6.3,8.06,9.81
HFC32,0,0,0,0.65,0.677,0.675
HFC365mfc,0,0,0,0.794,0.804,0.794
SF6,0,0,0,23.9,23.5,22.8
BC,0,0,0,0,0,0
BC_AWB,0,0,0,0,0,0
CO,0,0,0,0,0,0
CO_AWB,0,0,0,0,0,0
NH3,0,0,0,0,0,0
NH3_AGR,0,0,0,0,0,0
NH3_AWB,0,0,0,0,0,0
NMVOC,0,0,0,0,0,0
NMVOC_AWB,0,0,0,0,0,0
NOx,0,0,0,0,0,0
NOx_AGR,0,0,0,0,0,0
NOx_AWB,0,0,0,0,0,0
OC,0,0,0,0,0,0
OC_AWB,0,0,0,0,0,0
SO2_3,0,0,0,0,0,0
SO2_3_AWB,0,0,0,0,0,0
