region,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Africa_Eastern,145593,222829,255333,292560,327652,363312,398928,433912,467666,499664,529402,556634,581206,603136,622472,639201,653078,664120,672314,678024,681323,thous
Africa_Northern,119597,155472,168395,184959,196801,207480,216852,225136,232477,238781,243731,247357,249677,250848,250893,249970,248377,246266,243811,240965,237829,thous
Africa_Southern,83159,121701,139244,160447,179810,199719,219910,240067,260006,279087,297214,313929,329226,343254,355958,367099,376885,385319,392092,397271,400909,thous
Africa_Western,239535,360464,415301,478031,537465,599748,664116,729808,795629,860599,924076,982617,1036430,1086770,1133100,1174800,1211620,1243150,1269550,1291420,1309180,thous
Argentina,32642,38681,40117,43132,45377,47474,49407,51177,52778,54435,55013,55375,55522,55517,55332,54982,54484,53915,53289,52612,51891,thous
Australia_NZ,20359,24314,26525,28547,30619,32663,34591,36424,38212,39967,41667,43281,44784,46069,47145,48016,48667,49082,49233,49103,48725,thous
Brazil,149003,186127,195714,204472,212114,218835,224269,228418,231336,233038,233377,232304,230153,227015,223022,218264,212960,207279,201425,195525,189641,thous
Canada,27541,32164,34148,36027,37942,39827,41578,43194,44749,46285,47808,49283,50702,51943,53010,53899,54577,55014,55203,55088,54679,thous
Central America and Caribbean,59989,75932,80984,86156,90410,94236,97597,100446,102754,104535,105763,106465,106650,106558,106227,105638,104841,103819,102640,101344,99983,thous
Central Asia,68498,76706,81534,88051,91528,94287,96353,97911,99103,99832,99981,99590,98781,97769,96551,95122,93500,91781,90071,88412,86771,thous
China,1182960,1338030,1376320,1414640,1431260,1437680,1433380,1417840,1391620,1356310,1313220,1264140,1211040,1156060,1101080,1046470,992245,939257,889160,842988,800756,thous
Colombia,33103,42648,44879.3,46962.5,49445.8,50538.2,51908.1,53008.5,53773.2,54221.4,54377.4,54243,53843,53184.2,52293.1,51187.8,49894.2,48459.1,46946.5,45422.8,43944.1,thous
EU-12,107358,103595,102240,100885,100489,99871,98929,97638,96191,94712,93190,91540,89687,87507,85081,82569,80124,77829,75700,73704,71775,thous
EU-15,365030,387123,396932,404066,410786,417109,422887,428181,433036,437256,440600,442992,444653,445271,445263,444778,443719,441988,439290,435605,430661,thous
Europe_Eastern,65980,60612,59299,58432,56851,55458,54198,53087,52133,51262,50429,49635,48892,48066,47179,46230,45227,44191,43146,42092,41002,thous
Europe_Non_EU,78577,91004,94995,100665,104683,108334,111526,114226,116432,118121,119289,119897,120004,119658,118869,117659,116090,114257,112312,110280,108150,thous
European Free Trade Association,11184,12349,13051,13864,14375,14911,15440,15937,16401,16844,17270,17673,18044,18347,18591,18786,18932,19026,19045,18986,18847,thous
India,873278,1147610,1234280,1310150,1390440,1464250,1531190,1593140,1648680,1697450,1736740,1765630,1782310,1787850,1784280,1771810,1750760,1721860,1687290,1647720,1605660,thous
Indonesia,181413,226289,241834,258383,268979,277911,285073,290581,294272,295961,295514,293448,289848,284947,279001,272274,265011,257412,249617,241732,233841,thous
Japan,124505,128326,128542,127985,126674,124682,122205,119425,116466,113374,110228,107097,103942,100573,97045,93496,90013,86442,82905,79443,76059,thous
Mexico,83943,106005,114093,121858,128166,133883,138897,143123,146566,149207,151057,152126,152391,152312,152038,151541,150753,149656,148293,146831,145314,thous
Middle East,133782,190643,216724,240169,263175,285215,306215,326372,345587,363165,378689,391982,402949,411673,418270,422733,425282,426217,425855,424503,422123,thous
Pakistan,107648,160304,179425,199427,217611,235246,251556,266794,281252,294811,307069,317275,325405,331845,336791,340620,343182,344732,344939,344183,342540,thous
Russia,147532,143672,143479,144985,144271,143195,141897,140735,140027,139464,138932,138295,137620,136685,135592,134301,132755,130973,129027,126931,124611,thous
South Africa,36801,47881,51217,55386,57817,59978,61814,63336,64630,65681,66519,67138,67571,67720,67556,67095,66349,65437,64361,63119,61707,thous
South America_Northern,20897,27881,29952,31669,33700,35594,37332,38852,40151,41230,42082,42720,43150,43365,43360,43147,42778,42267,41631,40891,40070,thous
South America_Southern,56665,72931,77398,82211,86148,89697,92765,95291,97293,98744,99640,100009,99897,99503,98869,98000,96897,95586,94124,92589,91012,thous
South Asia,152569,210948,225087,239776,256461,272593,287632,301395,313720,324320,333066,339924,344844,348159,350061,350761,350355,348946,346676,343742,340319,thous
South Korea,42918,48701,49546,50823,51313,51586,51607,51276,50536,49424,47994,46346,44588,42769,40936,39131,37385,35718,34143,32668,31222,thous
Southeast Asia,290435,368399,390297,412741,433107,451150,466494,478957,488555,495292,499174,500737,500223,497740,493605,487847,480743,472604,463739,454455,444858,thous
Taiwan,20479,22706,23188,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,23557,thous
USA,255627,298733,312697,324365,337150,349942,362126,373482,383986,393596,402689,411756,420930,429574,437286,443787,448905,452695,455351,456992,457531,thous
Uruguay,3109,3352,3397,3467,3531,3589,3639,3676,3699,3708,3705,3637,3560,3481,3401,3319,3238,3157,3077,2999,2924,thous
